CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
705,Slovenia,...,...,...,...,...,...,...,...,...,...,7734,...,24144,...,49425,...,29970,...,12539,...,10675,...,10674,...,,,,,,,,,,,,,,,,,,,,,,,,
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,129728.6016,114048,98070.20313,108249,203766.7969,...,1187552,12392995,13943534,6295213,3972718.5,5087385,48377100,,,,,,,,,,,,,18,19,20,21,,,22,,,,,
724,Spain,...,...,...,...,...,...,...,...,...,...,1204478,...,1252282,...,1095338,...,874210,...,630210,...,524712,...,398291,...,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,...,...,...,...,...,...,5016,...,...,6151.200195,4570.799805,5674.799805,5113.200195,8466,11886,14422.7998,4080,...,4512,...,4572,...,...,...,,,,,,,23,,,24,24,24,24,"24,25",24,24,24,,24,,24,,,
752,Sweden,...,...,...,...,...,...,...,...,...,...,494123,...,143853,...,384266,...,355732,...,466196,...,426026,...,626580,...,,,,,,,,,,,,,,,,,,,,,,,,
764,Thailand,...,...,54708,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,...,...,...,...,790775,...,26241,...,738193,...,2932429,...,2750235,...,5831220,...,6623186,...,,,,,,,,,,,,,,,,,,,,,,,,
804,Ukraine,...,1232335,1262864,1392700,668887.375,885368.5,760626,640041,726922,931700,1102787,948461,1056953,990591,1066308,333246,126849,138455,146760,102983,81584,78650,102517,96810,,,,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,144835.4219,51697,167075.1719,49350.01172,58778.98047,75040.34375,...,...,,,,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,...,...,...,...,...,...,...,...,...,...,3003692,...,1509306,...,1270785,...,1296855,...,1034935,...,869206,...,844535,...,,,,,,,,,,,,,,,,,,,,,,,,
894,Zambia,...,...,...,...,...,...,0,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
