CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
764,Thailand,...,...,7133,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,260000,...,...,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,...,...,...,...,191901,...,28251,...,56947,...,27331,...,40559,...,33329,...,57814,...,,,,,,,,,,,,,,,,,,,,,,,,
800,Uganda,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
804,Ukraine,...,338771,212778,235260.2031,162435.7031,67668.5,95301,121935,390358,382185,150660,123486,120043,75388,56288,47298,16473,15612,14007,15097,8273,5808,6232,8748,,,,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2612,10334.03125,15654.90039,16888.62891,24149.06641,6177.675293,...,...,,,,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,...,...,...,...,...,...,...,...,...,...,116585,...,440947,...,432555,...,262759,...,239518,...,241230,...,300070,...,,,,,,,,,,,,,,,,,,,,,,,,
834,United Republic of Tanzania,13.89999962,...,...,...,...,...,...,...,...,...,3.5,4.78000021,4.900000095,5.760000229,32.21500015,34.81000137,43.23199844,45.36500168,48.25999832,50.22499847,50.68399811,51.34999847,...,...,26,,,,,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,,
894,Zambia,...,...,...,...,...,...,0,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
