CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
344,"China, Hong Kong Special Administrative Region",3810,...,...,...,...,4845,4615,4709,4746,4923,5174,5332,5398,5824,5704,6017,6228,6163,6444,6453,6930,6303,5559,5493,5624,5741,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",84.34999847,...,...,...,...,185.9700012,198.3999939,217.2799988,221.7899933,225.25,230.25,233.6100006,244.1199951,249.6300049,256.9200134,279.7799988,287.1300049,288.9100037,301.2799988,345.4500122,324.2399902,332.2600098,369.3699951,401.1499939,465.0899963,516.9799805,...,...,18,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9228.186523,8641.733398,9461.292969,10123.79492,11032.46582,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,1280,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,...,...,...,...,...,...,...,1015,...,...,1173,...,...,...,1311,1449,1654,1719,1788,1743,1630,1645,1670,1721,1637,1654,1680,1716,,,,,,,,6,,,6,,,,6,6,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,3905,4088.100098,4128.700195,4450.600098,4230.200195,4360.100098,5161.100098,4574.399902,4627.5,4227.799805,5304,5033.799805,4831.799805,4888.399902,5375.5,5916.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,192.4380035,191.6690063,210.7409973,155.8059998,221.9470062,257.243988,177.7579956,173.1230011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,387,400,411,418,426,436,456,465,481,498,508,521,540,573,589,571,572,568,533,523,541,545,547,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
203,Czechia,...,...,...,...,...,3120,3200,3280,3017,3365,3434,2798,2845,2857,2841,2954,3039,3025,3176,3310,3334,3358,3233,3228,3261,3337,3580,3643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Democratic Republic of the Congo,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,314269,479639,589168,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,2725,3253,3104,3141,3329,3546,3519,3568,3618,3757,3990,4021,4313,4560,4206,...,4349,4421,4437,4450,4485,4484,4503,,,,,,6,,,,,,,,,,,,,,6,,,,,,,,
212,Dominica,...,...,...,...,...,...,...,...,...,...,...,20.90600014,20.90600014,20.90600014,20.90600014,20.90600014,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4033.045898,2755.534912,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29306.09961,35635,29209,...,94868,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,533,565,593,557,569,633,509,553,567,606,587,536,602,524,452,406,399,371,386,470,473,494,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,34960,34780,28456,30940,33868,35494,35366,50716,55956,61058,66628,67067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,2109,2100,2300,2400,2500,2600,2412,2384,2428,2453,2506,2600,2675,2768,2562,2519,2719,2738,2682,2630,2738,2768,2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,28253,28950,29677,30449,30612,31232,32198,32684,31400,32444,33347,33962,34577,34501,34426,34609,34790,34484,34176,34230,34284,34339,34393,,,,,,,,,,,,,,,,,6,,6,,6,,6,,6,,6,6
254,French Guiana,...,...,...,...,...,...,36.09999847,82.90000153,68.30000305,65.09999847,...,...,...,...,...,101.2360001,91.19999695,81.16300201,87.30400085,93.44400024,102.5739975,111.7030029,90.91400146,70.12400055,90.55500031,110.9860001,...,...,,,,,,,,,,,,,,,,,6,,19,,6,,6,6,6,,,
258,French Polynesia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,106.711998,115.711998,124.7109985,104.0189972,83.3259964,...,...,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,855,875,880,...,...,...,...,...,...,813.5780029,982.2839966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,...,...,...,...,50894,52544,53966,53058,52373,52810,52075,52772,49622,48434,46555,46426,47887,48367,48466,49237,50237,49759,49570,51102,51625,52133,52342,,,,,,1,20,20,20,20,1,1,,,,,,,,,,,,,,,,6
288,Ghana,753.8869629,...,...,...,...,1095.212402,1196.971924,1303.282593,1388.597534,1503.851074,1656.69812,1729.786133,1805.613159,1854.364746,1935.14917,2271.312256,2369.085205,2582.776611,2806.280273,3000.490479,3313.073242,3395.899902,3480.797363,3567.817383,3657.012939,3915.0354,4012.911377,4113.233887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,3200,3600,3900,4082,4264,4447,4559,4640,4710,4782,4853,4927,5002,5077,5154,5917,5586,5463,5284,5315,5249,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
