CountryID,Country,1990,1995,1996,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
620,Portugal,...,...,...,...,...,...,...,214.9644177,...,571.9935875,...,53.03029947,...,63.94784761,...,69.35063445,...,70.86130995,...,80.82879927,...,,,,,,,,6,,6,,,,,,,,,,,
498,Republic of Moldova,44.18603905,0.662582546,...,0.691725407,0.546170653,0.547572485,0.86105101,0.462996632,0.417779161,0.411607029,0.627808273,0.358755083,0.412593627,0.220101403,0.761765924,0.952695864,1.020962871,0.310059859,1.78372051,1.467285028,2.142037059,26,26,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
642,Romania,...,...,...,...,...,...,...,106.2244722,...,49.62671205,...,25.49113197,...,34.0350859,...,34.16995947,...,29.46202442,...,31.57052739,...,,,,,,,,13,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,1450.725756,1986.879938,991.1268598,992.1912957,976.8885548,2009.447982,858.8198037,985.5081425,798.9068434,838.7467991,792.5292067,808.3537529,859.4718031,759.2786942,676.394491,736.5922166,,,,,,,,,,,,,,,,,,,,,
638,Réunion,...,...,...,13.28338152,...,...,...,...,...,9.853312064,1.246390969,1.362185867,1.301702291,5.775906391,3.020408358,9.247464472,9.820036543,10.47306759,9.161889782,9.702877405,...,,,,,,,,,,14,14,,,,,,"14,27","14,27","14,27","14,27",
670,Saint Vincent and the Grenadines,...,...,...,...,...,0.001387014,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.24028782,27.18935975,,,,,,,,,,,,,,,,,,,,28,
688,Serbia,...,...,...,...,...,...,...,...,...,...,...,915.1752746,1106.100815,1236.05604,1422.788902,1612.889339,1879.406433,1513.32167,1866.811344,...,...,,,,,,,,,,,,,,,,,,,,,
702,Singapore,...,18.65022182,...,31.0427291,50.7298361,46.96422935,51.07647269,63.61497835,75.48359601,89.55092488,103.7500465,97.29733964,71.69443349,85.52984755,83.57777805,53.21613263,61.02243381,74.41326126,79.91033133,84.72263371,82.59399633,,"29,30",,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
703,Slovakia,...,...,...,...,...,...,...,78.20730342,...,98.71945031,...,97.65124315,...,76.87942218,...,68.34377256,...,68.37867241,...,91.16609865,...,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,...,...,...,...,...,...,...,54.18518351,...,58.09238588,...,75.44634875,...,57.29602654,...,64.71299123,...,75.08096782,...,59.59729149,...,,,,,,,,,,,,,,,,,,,,,
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25.23932756,...,...,...,...,...,913.4703129,,,,,,,,,,,,,,,,,,,,,
724,Spain,...,...,...,...,...,...,...,71.87758035,...,90.06591582,...,79.32121461,...,63.92903302,...,66.45581561,...,63.80184261,...,68.27286932,...,,,,,,,,,,,,,,,,,,,,,
144,Sri Lanka,...,...,2.209700586,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,...,...,...,1.556309647,...,...,1.787724361,1.304436736,1.58683726,1.397292424,2.256477177,3.085421474,3.643976278,1.003238641,...,1.050533649,...,1.03237251,...,...,...,,,,31,,,32,32,32,32,"32,33",32,32,32,,32,,32,,,
740,Suriname,...,...,...,...,...,...,...,...,...,...,...,0.008638294,0.008048112,0.008154297,0.006584034,0.006386421,0.007381759,0.012904905,0.011714503,0.007842332,0.004592455,,,,,,,,,,,,"34,35","34,35","34,35","34,35","34,35","34,35","34,35","34,35","34,35","34,35"
752,Sweden,...,...,...,...,...,...,...,180.7179668,...,291.7723144,...,223.385685,...,269.1922019,...,282.6512196,...,264.9729363,...,241.8901255,...,,,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,...,...,...,...,...,...,0.002641361,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
764,Thailand,...,...,...,26.20793983,25.96653747,27.7807414,27.8832211,27.81442951,27.72620425,27.83172453,27.93236338,...,...,...,...,...,...,30.172964,40.74830181,...,...,,,,,,,,,,,,,,,,,,,,,
768,Togo,...,...,...,...,...,...,...,...,...,...,0.316804741,...,...,...,...,...,0.168543669,...,...,...,...,,,,,,,,,,,36,,,,,,,,,,
780,Trinidad and Tobago,...,...,...,...,...,...,8.918641924,24.107521,24.57295437,24.22272536,27.14701434,31.84559256,...,...,...,...,91.94852444,90.78579217,90.42635858,...,...,,,,,,,,,,,,,,,,,,,,,
788,Tunisia,...,...,...,...,15.43067788,15.22658517,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,...,14.88749319,...,0.157002108,...,14.45602694,...,44.60007915,...,53.48273131,...,44.44462918,...,69.53482363,...,,,,,,,,,,,,,,,,,,,,,
804,Ukraine,...,69.9897591,...,53.50577698,52.54542271,36.03163195,51.21606387,51.26013725,51.43202604,50.86071877,55.73265984,49.82510881,26.74995343,36.24956052,31.47426948,30.16963954,20.39828747,16.39824747,13.07485774,13.8875756,13.60564586,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,...,...,...,...,...,...,...,133.1399532,...,138.9486668,...,117.3589178,...,82.81659089,...,89.97197649,...,85.69996616,...,91.80741713,...,,,,,,,,,,,,,,,,,,,,,
834,United Republic of Tanzania,0.000553819,0.000534032,...,0.001419332,0.001564256,0.001428164,0.001370963,0.000470588,0.000517628,0.000553711,0.000607055,0.001222899,0.001153272,0.001261036,0.001151229,0.001161502,0.001359132,0.001226647,0.001139219,...,...,37,,,,,,,37,37,37,37,37,37,37,37,38,39,39,39,,
860,Uzbekistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.265421043,1.274431536,1.363670804,2.64153933,,,,,,,,,,,,,,,,,,40,40,40,40
887,Yemen,...,2.493366308,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
894,Zambia,...,...,...,4.747787555,...,...,4.705837445,...,6.637816504,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
