CountryID,Country and Area,"Forest Area, 1990 (1000 ha)","Forest Area, 2000 (1000 ha)","Forest Area, 2010 (1000 ha)","Forest Area, 2015 (1000 ha)","Forest Area, 2020 (1000 ha)","Total Land Area, 2020 (1000 ha)","Forest Area as a  Proportion of (%)
Total Land Area, 2020","Deforestation, 
2015-2020 (1000 ha/year)","Total Forest Area 
Affected by Fire, 2015 (1000 ha)"
858,Uruguay,798,1369,1731.3,1920,2031,17502,11.60,...,...
860,Uzbekistan,2549.37,2961.46,3349.6,3549.4,3689.66,42540,8.67,14.15,0.17
548,Vanuatu,442.3,442.3,442.3,442.3,442.3,1219,36.28,...,...
862,Venezuela (Bolivarian Republic of),52026,49151,47505,46683,46230.9,88205,52.41,108.29,...
704,Viet Nam,9375.96,11784.1,13388.06,14061.86,14643.09,31007,47.23,1.59,...
876,Wallis and Futuna Islands,5.8,5.81,5.82,5.83,5.83,14,41.64,...,...
732,Western Sahara,665.1,669.31,665.11,664.7,665.07,26600,2.50,...,...
887,Yemen,549,549,549,549,549,52797,1.04,...,...
894,Zambia,47412,47054,46696,45755.1,44814.03,74339,60.28,189.71,15077
716,Zimbabwe,18826.68,18365.98,17905.28,17674.93,17444.58,38685,45.09,46.07,2830
