Country_Mapping,Country_Final,Country_ID_Final,2017_Population_World_Bank,2017_Land_Area_km_2,2017_GDP_US_Dollars_World_Bank,World_Bank_Notes,Other_Notes
Kuwait,Kuwait,117,4056102,17820,120707435542.367,,
Kyrgyzstan,Kyrgyzstan,118,6198200,191800,7702934800.12836,,
Lao People's Democratic Republic,Lao,119,6953031,230800,17071162084.4067,,
Latvia,Latvia,120,1942248,62110,30408509601.8003,,
Lebanon,Lebanon,121,6819373,10230,53324800958.6119,,
Lesotho,Lesotho,122,2091532,30360,2306843528.52853,,
Liberia,Liberia,123,4702224,96320,3390703400,,
Libya,Libya,124,6580723,1759540,37883243650.452,,
Liechtenstein,Liechtenstein,125,37805,160,6474256118.61481,,
Lithuania,Lithuania,126,2828403,62641,47640770634.427,,
Luxembourg,Luxembourg,127,596336,2430,65549868206.9418,,
Madagascar,Madagascar,128,25570511,581800,13176313593.5418,,
Malawi,Malawi,129,17670193,94280,8943543677.18899,,
Malaysia,Malaysia,130,31104655,328550,319112136545.438,,
Maldives,Maldives,131,496398,300,4754175869.24027,,
Mali,Mali,132,18512429,1220190,15365714371.3316,,
Malta,Malta,133,467999,320,13221298307.8894,,
Marshall Islands,Marshall Islands,134,58053,180,213204100,,
Martinique,Martinique,135,375053,1128,9363000000,"Wikipedia, 2021. GDP 2015 from Wikipedia. Part of France",
Mauritania,Mauritania,136,4282582,1030700,6799075418.99441,,
Mauritius,Mauritius,137,1264613,2030,13259351418.4459,,
Mayotte,Mayotte,138,299348,374,2640000000,"Wikipedia, 2022. GDP 2019 from Wikipedia. Part of France",
Mexico,Mexico,139,124777326,1943950,1158913035796.37,,
Micronesia (Federated States of),Micronesia,140,111461,700,366666800,,
Monaco,Monaco,141,38392,2.027,6431314957.07185,,
Mongolia,Mongolia,142,3113788,1557255.4,11480847745.3187,,
Montenegro,Montenegro,143,622373,13450,4844592066.71174,,
Montserrat,Montserrat,144,4649,102,181680000,"Wikipedia, 2019. GDP 2019 from Wikipedia. British Overseas Territory",
Morocco,Morocco,145,35581257,446300,109682728023.112,,
Mozambique,Mozambique,146,28649007,786380,13219084261.3664,,
Myanmar,Myanmar,147,53382521,652790,61449391917.1299,,
Namibia,Namibia,148,2402623,823290,12895153160.466,,
Nauru,Nauru,149,10577,20,109359680.217211,,
Nepal,Nepal,150,27632682,143350,28971589213.134,,
Netherlands,Netherlands,151,17131296,33670,831809944960.879,,
New Caledonia,New Caledonia,152,270000,18280,9173669999.5986,,
New Zealand,New Zealand,153,4813600,263310,206950600690.395,,
Nicaragua,Nicaragua,154,6384843,120340,13785876629.3189,,
Niger,Niger,155,21602388,1266700,11185102399.5762,,
Nigeria,Nigeria,156,190873247,910770,375746469538.666,,
Niue,Niue,157,1620,261.46,30510028,"Wikipedia, 2018. GDP 2018 from Wikipedia. Associate with New Zealand",
Norfolk Island,Norfolk Island,158,1748,34.6,60209320,"Wikipedia, 2016. GDP 2016 from Wikipedia. Part of Australia",
North Macedonia,North Macedonia,159,2074502,25220,11307058382.3435,,
Northern Mariana Islands,Northern Mariana Islands,160,56553,460,1560000000,,
Norway,Norway,161,5276968,365122.96,398393955268.99,,
Oman,Oman,162,4665926,309500,80856697009.1027,,
Pakistan,Pakistan,163,207906210,770880,304567253219.097,,
Palau,Palau,164,17809,460,285300000,,
Panama,Panama,165,4106764,74120,62202725204.4646,,
Papua New Guinea,Papua New Guinea,166,8438038,452860,22742613553.6879,,
Paraguay,Paraguay,167,6867058,397300,38997129473.5558,,
Peru,Peru,168,31444299,1280000,211007207483.515,,
Philippines,Philippines,169,105172921,298170,328480867143.204,,
Pitcairn,Pitcairn,170,47,47,151900,"Wikipedia, 2021. GDP 2005 from Wikipedia. British Overseas Territory",
Poland,Poland,171,37974826,306190,526508877305.321,,
Portugal,Portugal,172,10300300,91605.6,220811110492.149,,
Puerto Rico,Puerto Rico,173,3325286,8870,103445526000,,
Qatar,Qatar,174,2724727,11490,161099122225.275,,
Republic of Korea,Republic of Korea,175,51361911,97510,1623901496835.79,,
Republic of Moldova,Republic of Moldova,176,2755158,32890,9669759987.02633,,
Reunion,Reunion,177,868846,2511,22000000000,"Wikipedia, 2022. GDP 2019 from Wikipedia. Part of France",
Réunion,Reunion,177,868846,2511,22000000000,"Wikipedia, 2022. GDP 2019 from Wikipedia. Part of France",
Romania,Romania,178,19588715,230080,211695422578.655,,
Russian Federation,Russian Federation,179,144496739,16376870,1574199387070.9,,
Rwanda,Rwanda,180,11980960,24670,9253098954.27769,,
Saint Barthélemy,Saint Barthelemy,181,9961,25,191000000,"Wikipedia, 2017. GDP 1999 Estimate from Wikipedia. Part of France",
Saint Helena,Saint Helena,182,4439,121.8,56599760,"Wikipedia, 2021. GDP 2018 from Saint Helena 2019 Statistics Website. British Overseas Territory",
Saint Kitts and Nevis,Saint Kitts and Nevis,183,52036,260,1060740740.74074,,
Saint Lucia,Saint Lucia,184,180955,610,1996771444.44444,,
Saint Martin (French Part),Saint Martin French,185,36569,50,771900000,GDP 2014 Estimate from Wikipedia,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,186,5997,242,199764000,"Wikipedia, 2017. GDP 2004 Estimate from Wikipedia. Part of France",
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,187,109826,390,792177777.777778,,
Samoa,Samoa,188,195358,2830,832025573.983795,,
San Marino,San Marino,189,33671,60,1528630707.49794,,
Sao Tome and Principe,Sao Tome and Principe,190,207086,960,375614126.193877,,
Saudi Arabia,Saudi Arabia,191,33101183,2149690,688586244293.333,,
Senegal,Senegal,192,15419354,192530,20996564751.5994,,
Serbia,Serbia,193,7020858,87460,44179055279.8887,,
Serbia and Montenegro,Serbia and Montenegro,999,,,,,No longer a state. Data exists for Serbia and Montenegro separately.
Seychelles,Seychelles,194,95843,460,1528242026.36264,,
Sierra Leone,Sierra Leone,195,7488427,72180,3719369107.34992,,
Singapore,Singapore,196,5612253,709,343337750742.27,,
Sint Maarten (Dutch part),Sint Maarten Dutch,197,40574,34,1191620111.73184,,
Slovakia,Slovakia,198,5439232,48080,95157888666.9967,,
Slovenia,Slovenia,199,2066388,20138.1,48469082710.3089,,
Solomon Islands,Solomon Islands,200,636030,27990,1483758906.61054,,
Somalia,Somalia,201,14589165,627340,5609000000,,
South Africa,South Africa,202,57009751,1213090,381448814653.456,,
South Sudan,South Sudan,203,10910774,631944.08,3194000000,GDP 2018 from Wikipedia,
Spain,Spain,204,46593236,499547.35,1309297246509.31,,
Sri Lanka,Sri Lanka,205,21444000,61893,87428128123.7209,,
St. Helena and Depend.,St. Helena,182,4439,121.8,56599760,"Wikipedia, 2021. GDP 2018 from Saint Helena 2019 Statistics Website. British Overseas Territory",
