Country ID,Country,"Time Series - Total CH4 Emissions, in 1000 tonnes of CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH4 emissions, latest year",% change since 1990,"CH4 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
188,Costa Rica,"3,157.23",...,...,...,...,...,"3,688.44",...,...,...,"3,363.51",...,...,...,...,"3,532.64",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,3532.64,11.89,0.824
384,Côte d’Ivoire,...,...,...,...,"18,680.73",...,...,...,...,...,"25,147.50",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,25147.50,...,1.528
191,Croatia,175.30,169.40,151.04,147.78,140.51,138.85,137.57,136.77,136.06,138.84,137.03,140.35,141.08,148.28,152.47,153.32,158.80,159.78,159.63,162.78,165.81,163.81,161.94,152.49,154.18,157.86,163.40,162.76,155.55,2018,155.55,-11.27,0.037
192,Cuba,"7,318.71",...,"7,317.66",...,"7,194.39",...,"7,393.26",...,"7,450.17",...,"7,682.01",...,"8,365.14",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,8365.14,14.30,0.747
196,Cyprus,26.46,26.92,27.65,28.63,29.16,30.00,30.68,30.85,30.91,31.04,31.70,32.97,33.94,33.61,33.42,32.74,32.81,32.94,32.87,32.96,33.28,33.48,33.06,32.82,32.83,33.30,34.33,35.01,35.38,2018,35.38,33.73,0.030
203,Czechia,941.12,878.39,824.93,788.63,743.93,726.98,721.07,704.73,677.30,648.15,615.14,605.39,588.52,588.97,572.12,587.01,596.32,578.92,583.78,569.83,577.84,579.12,578.42,555.19,555.14,557.76,539.15,531.21,526.20,2018,526.20,-44.09,0.049
408,Democratic People's Republic of Korea,"24,801.00",...,...,...,"19,530.00",...,...,...,...,...,"12,222.00",...,"12,621.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,12621.00,-49.11,0.541
180,Democratic Republic of the Congo,...,...,...,...,"40,636.68",...,...,...,...,"36,729.00","37,498.86","36,896.58","36,991.71","37,293.48",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,37293.48,...,0.725
208,Denmark,317.68,325.07,327.85,335.45,330.66,333.56,337.91,333.13,335.23,330.81,327.80,337.42,334.95,335.94,328.77,319.17,315.00,314.02,309.37,304.15,306.70,300.33,296.03,292.34,290.98,288.05,290.12,291.22,294.74,2018,294.74,-7.22,0.051
262,Djibouti,...,...,...,...,236.04,...,...,...,...,...,280.29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,280.29,...,0.391
212,Dominica,...,...,...,...,62.58,...,...,...,...,...,31.65,32.97,32.76,32.55,32.76,32.76,47.97,48.30,49.14,48.30,48.55,54.05,50.06,49.85,50.06,50.08,50.04,52.34,...,2017,52.34,...,0.732
214,Dominican Republic,"3,039.75",...,...,...,"4,659.96",...,...,...,"4,506.18",...,"4,836.51",...,...,...,...,...,...,...,...,...,"9,174.71",...,...,...,...,...,...,...,...,2010,9174.71,201.82,0.946
218,Ecuador,"13,048.77",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"11,507.76",...,"11,724.49",...,...,...,...,...,...,2012,11724.49,-10.15,0.758
818,Egypt,"22,174.74",...,...,...,...,...,...,...,...,...,"39,433.97",...,...,...,...,"42,316.30",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,42316.30,90.83,0.560
222,El Salvador,...,...,...,...,"3,107.58",...,...,...,...,...,...,...,...,...,...,"3,360.63",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,3360.63,...,0.555
232,Eritrea,...,...,...,...,"1,581.72",81.27,100.17,122.85,132.72,143.22,"3,003.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3003.00,...,1.310
233,Estonia,76.05,72.91,63.26,53.74,52.06,50.48,51.02,53.17,51.52,47.97,49.52,50.92,49.18,49.28,50.00,48.71,48.25,48.90,48.29,48.91,49.75,48.03,48.73,48.65,47.25,45.87,45.01,45.18,44.70,2018,44.70,-41.23,0.034
748,Eswatini,...,...,...,...,"1,347.49",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,1347.49,...,1.485
231,Ethiopia,"37,611.00","38,388.00","36,960.00","37,044.00","31,031.45","31,900.99","33,132.65","49,490.20","49,979.51","49,944.17","48,738.06","50,759.53","55,860.72","55,368.63","56,312.18","45,262.61","46,975.78","52,187.45","53,239.45","55,062.21","57,701.18","59,920.81","60,327.04","60,729.02",...,...,...,...,...,2013,60729.02,61.47,0.637
242,Fiji,...,...,...,...,542.43,...,...,...,...,...,...,...,...,...,514.82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,514.82,...,0.629
246,Finland,307.38,306.66,304.68,306.29,305.10,296.80,293.66,290.36,279.70,272.77,262.45,257.05,248.11,239.88,232.53,222.59,225.54,220.25,214.53,211.87,214.20,207.33,205.13,199.58,195.69,194.26,189.13,184.21,181.63,2018,181.63,-40.91,0.033
250,France,"2,795.09","2,823.37","2,816.39","2,831.38","2,835.49","2,859.52","2,828.41","2,784.27","2,788.83","2,791.13","2,805.91","2,800.60","2,732.62","2,689.28","2,629.92","2,586.11","2,556.80","2,539.77","2,541.92","2,498.27","2,487.89","2,440.25","2,387.05","2,366.43","2,359.48","2,332.34","2,309.89","2,295.16","2,260.00",2018,2260.00,-19.14,0.035
266,Gabon,...,...,...,...,"1,167.37",...,...,...,...,...,710.43,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,710.43,...,0.578
270,Gambia,...,...,...,"4,010.74",...,...,...,...,...,...,795.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,795.23,...,0.603
268,Georgia,"2,545.20","6,208.44","4,871.24","3,747.16","3,181.71","2,980.01","3,045.00",348.60,...,...,"5,093.34","4,332.72","4,290.93","4,625.04","4,438.35","4,095.04","5,175.56","5,031.47","4,589.45","3,917.29","4,107.18","4,568.13","4,939.62","4,700.22",...,...,...,...,...,2013,4700.22,84.67,1.161
276,Germany,"4,847.70","4,600.77","4,457.42","4,481.78","4,323.44","4,224.53","4,129.84","3,949.41","3,745.03","3,709.19","3,544.22","3,401.79","3,238.77","3,100.55","2,901.15","2,774.73","2,623.81","2,542.77","2,506.12","2,407.40","2,367.25","2,322.69","2,352.19","2,328.78","2,279.64","2,270.70","2,220.28","2,189.53","2,105.68",2018,2105.68,-56.56,0.025
288,Ghana,"3,005.81","3,350.05","3,227.07","3,314.01","3,463.95","3,651.27","3,842.58","4,409.43","4,502.33","4,608.03","4,870.74","5,361.93","5,702.97","5,852.70","6,100.08","6,217.89","6,419.28",...,...,...,...,...,...,...,...,...,...,...,...,2006,6419.28,113.56,0.287
300,Greece,441.69,441.64,444.68,446.06,450.85,457.10,463.81,461.94,470.88,470.12,469.44,442.23,446.57,450.46,451.50,455.29,458.40,453.06,449.19,434.47,442.73,437.43,430.91,421.32,412.95,406.07,392.20,402.37,403.64,2018,403.64,-8.61,0.038
308,Grenada,...,...,...,...,"1,470.51",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,1470.51,...,14.802
