Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
392,Japan,"1,250.00","1,241.00","1,199.47","1,155.20","1,212.32","1,202.97","1,158.13","1,193.67","1,119.50","1,136.93","1,130.87","1,124.15","1,115.08","1,088.31","1,058.25","1,010.67",970.29,926.76,860.19,802.59,772.12,727.95,724.16,715.46,706.51,701.73,700.92,695.31,694.93,2018, 694.93 ,-44.41, 5.46 
400,Jordan,...,...,...,...,...,...,...,...,...,...,186.41,...,...,...,...,...,138.00,...,...,...,...,...,...,...,...,...,...,...,...,2006, 138.00 ,..., 23.03 
398,Kazakhstan,"1,043.89","1,028.12",902.66,808.80,638.17,625.94,563.99,506.10,480.44,357.65,407.15,400.85,452.31,483.55,478.06,537.42,581.50,571.89,555.95,566.65,594.50,640.49,652.01,624.28,676.92,666.64,637.20,661.33,668.74,2018, 668.74 ,-35.94, 36.50 
404,Kenya,...,...,...,...,...,108.45,...,...,...,...,126.32,...,...,...,...,126.21,...,...,...,...,145.65,...,...,...,...,...,...,...,...,2010, 145.65 ,..., 3.47 
414,Kuwait,...,...,...,...,319.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994, 319.00 ,..., 192.25 
417,Kyrgyzstan,92.65,84.71,69.21,55.15,39.19,24.13,22.17,24.78,21.38,23.08,22.53,22.77,22.45,22.03,23.27,23.13,22.83,24.76,31.51,32.97,30.56,...,...,...,...,...,...,...,...,2010, 30.56 ,-67.01, 5.64 
418,Lao People's Democratic Republic,...,...,...,...,...,...,...,...,...,...,1.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 1.59 ,..., 0.30 
428,Latvia,100.45,81.68,69.79,65.74,66.71,49.39,55.67,43.96,39.84,32.21,17.75,14.30,12.98,11.31,9.28,8.74,8.32,8.12,6.58,6.61,4.31,4.27,4.41,3.90,3.85,3.55,3.43,3.59,3.83,2018, 3.83 ,-96.19, 1.99 
422,Lebanon,...,...,...,...,82.99,...,...,...,...,...,93.42,...,...,...,...,...,...,...,...,...,...,102.02,112.05,119.01,...,...,...,...,...,2013, 119.01 ,..., 20.13 
440,Lithuania,185.14,210.72,110.23,96.82,96.02,73.77,74.44,68.30,85.05,63.48,37.95,41.76,37.52,24.84,25.58,27.37,25.16,21.62,19.51,18.72,18.02,19.53,17.00,14.66,13.34,14.93,14.88,12.65,12.66,2018, 12.66 ,-93.16, 4.52 
442,Luxembourg,15.75,15.96,15.57,16.50,14.95,8.83,8.31,5.65,3.01,3.09,3.25,3.82,2.80,2.62,2.41,2.38,2.76,2.32,1.69,1.67,1.65,1.23,1.44,1.49,1.51,1.30,0.95,0.96,0.92,2018, 0.92 ,-94.17, 1.52 
450,Madagascar,...,...,...,...,34.65,...,...,...,...,...,39.82,...,...,...,...,52.00,54.10,56.90,60.10,61.90,65.20,...,...,...,...,...,...,...,...,2010, 65.20 ,..., 3.08 
466,Mali,...,...,...,...,...,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.65,...,...,...,...,...,...,...,...,2010, 3.65 ,..., 0.24 
470,Malta,10.26,11.12,11.63,11.70,12.43,11.41,10.16,10.52,10.64,10.39,10.03,10.96,10.41,11.30,11.12,12.36,12.47,12.85,10.53,6.76,8.17,8.11,8.12,5.57,4.91,2.44,2.05,1.04,0.33,2018, 0.33 ,-96.76, 0.76 
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,0.15,...,...,...,...,0.18,...,...,...,...,0.28,...,...,...,...,...,...,...,...,2010, 0.28 ,..., 5.02 
478,Mauritania,...,...,...,...,...,0.19,...,...,...,...,0.09,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.09 ,..., 0.03 
480,Mauritius,...,...,...,...,...,26.74,...,...,...,...,8.76,9.55,9.20,12.47,9.72,9.60,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 9.60 ,..., 7.86 
583,Micronesia (Federated States of),...,...,...,...,0.53,...,...,...,...,...,0.31,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.31 ,..., 2.86 
492,Monaco,0.13,0.12,0.13,0.13,0.12,0.10,0.10,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,2018, 0.01 ,-91.55, 0.29 
499,Montenegro,13.95,15.28,12.74,8.21,6.91,3.76,12.02,11.06,13.12,13.45,13.52,11.08,15.38,14.79,14.09,12.50,13.74,11.78,15.35,8.08,27.80,39.73,...,...,...,...,...,...,...,2011, 39.73 ,184.73, 63.54 
504,Morocco,...,...,...,...,295.00,...,...,...,...,...,484.09,...,...,...,...,...,...,...,...,...,576.97,...,635.53,...,...,...,...,...,...,2012, 635.53 ,..., 19.12 
