"Country_ID","Country","agricultural_area_2013","percent_land_agricultural_2013","arable_land_2013","permanent_crops_2013","permanent_meadows_pastures_2013","nitrogen_consumption","phosphate_consumption","potash_consumption","terrestrial_protected_areas"
466,"Mali","  412 010","33.8","  64 110","  1 500","  346 400"," 3.08",0.77,0.49,"8.2"
470,"Malta","   102","32.0","   90","   13","..."," 332.26",7.04,8.9,"30.3"
584,"Marshall Islands","   115","63.9","   20","   65","   30"," 0.00",0,0,"11.9"
10009,"Martinique","   385","36.3","   122","   74","   189",NA,NA,NA,NA
478,"Mauritania","  397 110","38.5","  4 500","   110","  392 500",NA,NA,NA,"0.6"
480,"Mauritius","   860","42.4","   750","   40","   70"," 71.60",22.33,73.52,"4.7"
1010,"Mayotte","   122","32.5","   89","   33","...",NA,NA,NA,NA
484,"Mexico"," 1 067 050","54.9","  229 750","  26 930","  810 370"," 12.09",2.88,1.99,"14.5"
583,"Micronesia (Federated States of)","   220","31.4","   20","   170","   30",NA,NA,NA,"0"
496,"Mongolia"," 1 133 099","72.9","  5 664","   50"," 1 127 385"," 0.22",0,0,"17.7"
499,"Montenegro","  2 231","16.6","   78","   47","  2 106"," 6.26",2.72,2.38,"6.4"
1011,"Montserrat","   30","30.0","   20","...","   10",NA,NA,NA,NA
504,"Morocco","  304 010","68.1","  80 450","  13 560","  210 000"," 5.94",7.2,0.73,"30.8"
508,"Mozambique","  499 500","63.5","  56 500","  3 000","  440 000"," 0.90",0.08,0.08,"21.6"
104,"Myanmar","  125 870","19.3","  107 720","  15 090","  3 060"," 10.29",1.76,2.36,"6.4"
516,"Namibia","  388 090","47.1","  8 000","   90","  380 000"," 0.06",0.01,0.01,"37.9"
1012,"Nauru","   4","20.0","...","   4","...",NA,NA,NA,NA
524,"Nepal","  41 210","28.7","  21 140","  2 124","  17 950"," 19.88",9.12,0.61,"23.6"
528,"Netherlands","  18 476","54.9","  10 384","   361","  7 731"," 109.33",4.93,15.64,"11.2"
540,"New Caledonia","  1 842","10.1","   62","   40","  1 740"," 4.21",2.01,1.68,"54.4"
