"Country_ID","Country","CH4_latest_year","CH4","CH4_change_1990","CH4_per_capita","CO2_latest_year","CO2","CO2_change_1990","CO2_per_capita","GHG_latest_year","GHG","GHG_change_1990","GHG_per_capita","N2O_latest_year","N2O","N2O_change_1990","N2O_per_capita","NOx_latest_year","NOx","NOx_change_1990","NOx_per_capita","SO2_latest_year","SO2","SO2_change_1990","SO2_per_capita"
196,"Cyprus","2018","35.38","33.73","0.030","2018","7332.76","57.46","6.17","2018","8811.61","54.85","7.41","2018","1.00","1.54","0.001","2018","14.80","-12.89","12.45","2018"," 17.71 ","-44.22"," 14.89 "
203,"Czechia","2018","526.20","-44.09","0.049","2018","104411.21","-36.41","9.79","2018","127449.60","-35.37","11.95","2018","20.38","-35.31","0.002","2018","160.87","-77.89","15.08","2018"," 96.51 ","-94.50"," 9.05 "
408,"Democratic People's Republic of Korea","2002","12621.00","-49.11","0.541","2002","73779.00","-58.72","3.16","2002","87330.00","-57.92","3.74","2002","930.00","-76.92","0.040","2002","159.00","-65.36","6.81","2002"," 1,384.00 ","-55.66"," 59.30 "
180,"Democratic Republic of the Congo","2003","37293.48","...","0.725","2003","2645.00","...","0.05","2003","45998.98","...","0.89","2003","6,060.50","...","0.118","2003","749.82","...","14.58","2000"," 0.02 ","..."," 0.00 "
208,"Denmark","2018","294.74","-7.22","0.051","2018","36246.20","-33.91","6.30","2018","49694.48","-30.01","8.64","2018","18.19","-33.65","0.003","2018","108.86","-64.36","18.93","2018"," 11.82 ","-93.40"," 2.06 "
262,"Djibouti","2000","280.29","...","0.391","2000","342.02","...","0.48","2000","1071.81","...","1.49","2000","449.50","...","0.626","2000","1.89","...","2.63",NA,NA,NA,NA
212,"Dominica","2017","52.34","...","0.732","2017","156.85","...","2.19","2017","211.53","...","2.96","2017","2.29","...","0.032","2005","0.63","...","8.93","2005"," 0.22 ","..."," 3.09 "
214,"Dominican Republic","2010","9174.71","201.82","0.946","2010","12572.41","43.47","1.30","2010","25230.77","99.60","2.60","2010","3,483.66","315.59","0.359","2010","7.48","-86.18","0.77","2010"," 1.11 ","-98.56"," 0.11 "
218,"Ecuador","2012","11724.49","-10.15","0.758","2012","41084.46","188.25","2.66","2012","60191.63","-66.31","3.89","2012","7,382.68","-95.12","0.477","2012","229.31","78.96","14.82",NA,NA,NA,NA
818,"Egypt","2005","42316.30","90.83","0.560","2005","169249.70","100.93","2.24","2005","241631.56","106.98","3.20","2005","28,933.94","180.10","0.383","2005","399.42","...","5.29","2005"," 146.45 ","..."," 1.94 "
222,"El Salvador","2005","3360.63","...","0.555","2005","6062.27","...","1.00","2005","11069.00","...","1.83","2005","1,646.10","...","0.272","2005","39.47","...","6.52",NA,NA,NA,NA
232,"Eritrea","2000","3003.00","...","1.310","2000","621.00","...","0.27","2000","3934.00","...","1.72","2000","310.00","...","0.135","2000","5.00","...","2.18",NA,NA,NA,NA
233,"Estonia","2018","44.70","-41.23","0.034","2018","17710.95","-52.01","13.39","2018","19974.14","-50.41","15.10","2018","3.06","-37.89","0.002","2018","42.15","-55.89","31.86","2018"," 35.96 ","-83.80"," 27.18 "
748,"Eswatini","1994","1347.49","...","1.485","1994","873.87","...","0.96","1994","7538.68","...","8.31","1994","414.62","...","0.457","1994","19.88","...","21.90","1994"," 1.97 ","..."," 2.17 "
231,"Ethiopia","2013","60729.02","61.47","0.637","2013","10143.08","339.67","0.11","2013","94995.96","120.83","1.00","2013","24,123.86","678.19","0.253","2013","52.44","-66.81","0.55","2013"," 8.74 ","-21.28"," 0.09 "
242,"Fiji","2004","514.82","...","0.629","2004","1566.57","...","1.92","2004","2710.07","...","3.31","2004","628.68","...","0.769","2004","11.49","...","14.05","1994"," 0.03 ","..."," 0.04 "
246,"Finland","2018","181.63","-40.91","0.033","2018","45849.35","-19.52","8.30","2018","56359.07","-20.69","10.21","2018","16.00","-24.97","0.003","2018","119.80","-59.84","21.69","2018"," 33.39 ","-86.66"," 6.05 "
250,"France","2018","2260.00","-19.14","0.035","2018","338327.10","-16.11","5.21","2018","452209.68","-17.99","6.96","2018","135.31","-39.26","0.002","2018","871.52","-58.77","13.41","2018"," 180.04 ","-86.37"," 2.77 "
266,"Gabon","2000","710.43","...","0.578","2000","5157.27","...","4.20","2000","6159.55","...","5.01","2000","291.85","...","0.238","2000","7.54","...","6.14","2000"," 7.67 ","..."," 6.24 "
270,"Gambia","2000","795.23","...","0.603","2000","218.77","...","0.17","2000","19383.19","...","14.71","2000","1,102.90","...","0.837","2000","3.84","...","2.92",NA,NA,NA,NA
268,"Georgia","2013","4700.22","84.67","1.161","2013","9478.16","-73.32","2.34","2013","16610.14","-57.07","4.10","2013","2,223.46","256.98","0.549","2013","47.11","-63.33","11.64","2013"," 2.54 ","..."," 0.63 "
276,"Germany","2018","2105.68","-56.56","0.025","2018","755362.34","-28.22","9.09","2018","858368.68","-31.30","10.33","2018","119.19","-43.19","0.001","2018","1197.59","-58.52","14.41","2018"," 288.68 ","-94.70"," 3.47 "
288,"Ghana","2006","6419.28","113.56","0.287","2006","7847.20","174.21","0.35","2006","18227.04","97.52","0.81","2006","3,960.56","40.77","0.177","2000","50.06","...","2.60","2000"," 0.50 ","..."," 0.03 "
300,"Greece","2018","403.64","-8.61","0.038","2018","71797.87","-13.94","6.82","2018","92221.66","-10.73","8.76","2018","14.38","-42.60","0.001","2018","169.19","-46.35","16.08","2018"," 98.99 ","-80.63"," 9.41 "
308,"Grenada","1994","1470.51","...","14.802","1994","135.00","...","1.36","1994","1606.47","...","16.17","1994","0.95","...","0.010",NA,NA,NA,NA,NA,NA,NA,NA
320,"Guatemala","2005","5235.51","28.07","0.400","2005","12553.74","195.73","0.96","2005","22948.27","55.66","1.75","2005","5,159.02","-19.51","0.394","2005","92.93","118.27","7.10","2005"," 52.29 ","-29.81"," 3.99 "
324,"Guinea","2000","7623.00","...","0.925","2000","1960.00","...","0.24","2000","47713.00","...","5.79","2000","38,130.00","...","4.627","2000","21.00","...","2.55","1994"," 0.44 ","..."," 0.06 "
624,"Guinea-Bissau","2010","3450.22","...","2.266","2010","2450.67","...","1.61","2010","13064.99","...","8.58","2010","7,164.10","...","4.705","2010","7.06","...","4.64",NA,NA,NA,NA
328,"Guyana","2004","995.61","11.74","1.335","2004","1657.00","15.15","2.22","2004","2891.31","13.24","3.88","2004","238.70","6.94","0.320","2004","15.00","0.00","20.11","2004"," 6.90 ","-8.00"," 9.25 "
332,"Haiti","2000","3669.96","...","0.434","2000","1447.66","...","0.17","2000","6683.12","...","0.79","2000","1,565.50","...","0.185","2000","14.69","...","1.74","2000"," 13.58 ","..."," 1.60 "
