"Country_ID","Country","protected_areas_marine_terrestrial_latest_year","protected_areas_marine_terrestrial","protected_areas_marine_latest_year","protected_areas_marine","forest_area_2015","forest_area_2020","forest_total_land_area_2020","Basel_Convention","CITES","Convention_on_Biological_Diversity","Convention_on_Migratory_Species","Kyoto__Protocol","Montreal_Protocol","Paris_Agreement","Ramsar_Convention","Rotterdam_Convention","Stockholm_Convention","UN_Convention_on_the_Law_of_the_Sea","UN_Convention_to_Combat_Desertification","UN_Framework_Convention_on_Climate_Change","World__Heritage_Convention"
417,"Kyrgyzstan",2018,6.7,NA,NA,"1251.81",1315.38,19180,"1996","2007","1996","2014","2003",2000,"...","2003","2000","2006","...",1997,2000,"1995"
418,"Lao People's Democratic Republic",2018,16.7,NA,NA,"16768",16595.5,23080,"2010","2004","1996","...","2003",1998,"2016","2010","2010","2006","1998",1996,1995,"1987"
428,"Latvia",2018,17.5,2018,16,"3391.44",3410.79,6218,"1992","1997","1996","1999","2002",1995,"2017","1995","2003","2004","2004",2002,1995,"1995"
422,"Lebanon",2018,1,2018,0.2,"140.33",143.33,1023,"1994","2013","1995","2019","2006",1993,"...","1999","2006","2003","1995",1996,1994,"1983"
426,"Lesotho",2018,0.3,NA,NA,"34.52",34.52,3036,"2000","2003","1995","...","2000",1994,"2017","2004","2008","2002","2007",1995,1995,"2003"
430,"Liberia",2018,1.2,2018,0.1,"7768.74",7617.44,9632,"2004","1981","2001","2004","2002",1996,"2018","2003","2004","2002","2008",1998,2002,"2002"
434,"Libya",2018,0.3,2018,0.6,"217",217,175954,"2001","2003","2001","2002","2006",1990,"...","2000","2002","2005","...",1996,1999,"1978"
438,"Liechtenstein",2018,11.9,NA,NA,"6.7",6.7,16,"1992","1979","1998","1997","2004",1989,"2017","1991","2004","2004","...",1999,1994,"..."
440,"Lithuania",2018,17.8,2018,25.6,"2187",2201,6265,"1999","2001","1996","2002","2003",1995,"2017","1993","2004","2006","2003",2003,1995,"1992"
442,"Luxembourg",2018,40.9,NA,NA,"88.7",88.7,243,"1994","1983","1994","1983","2002",1988,"2016","1998","2002","2003","2000",1997,1994,"1983"
450,"Madagascar",2018,2.3,2018,0.7,"12495.89",12429.81,58180,"1999","1975","1996","2007","2003",1996,"2016","1999","2004","2005","2001",1997,1999,"1983"
454,"Malawi",2018,22.9,NA,NA,"2451.7",2241.7,9428,"1994","1982","1994","2019","2001",1991,"2017","1997","2009","2009","2010",1996,1994,"1982"
458,"Malaysia",2018,9,2018,1.5,"19464.22",19114.04,32855,"1993","1977","1994","...","2002",1989,"2016","1995","2002","...","1996",1997,1994,"1988"
462,"Maldives",2018,0.1,2018,0.1,"0.82",0.82,30,"1992","2012","1993","2019","1998",1989,"2016","...","2006","2006","2000",2002,1992,"1986"
466,"Mali",2018,8.2,NA,NA,"13296",13296,122019,"2000","1994","1995","1987","2002",1994,"2016","1987","2003","2003","1985",1995,1994,"1977"
470,"Malta",2018,6.4,2018,6.3,"0.35",0.46,32,"2000","1989","2001","2001","2001",1988,"2016","1989","2017","2017","1993",1998,1994,"1978"
584,"Marshall Islands",2018,0.3,2018,0.3,"9.4",9.4,18,"2003","...","1993","...","2003",1993,"2016","2004","2003","2003","1991",1998,1992,"2002"
478,"Mauritania",2018,1.1,2018,4.2,"340.04",312.8,103070,"1996","1998","1996","1998","2005",1994,"2017","1983","2005","2005","1996",1996,1994,"1981"
480,"Mauritius",2018,0,2018,0,"38.3",38.77,203,"1992","1975","1993","2004","2001",1992,"2016","2001","2005","2004","1994",1996,1992,"1995"
484,"Mexico",2018,19.1,2018,21.8,"66330.91",65692.08,194395,"1991","1991","1993","...","2000",1988,"2016","1986","2005","2003","1983",1995,1993,"1984"
583,"Micronesia (Federated States of)",2018,0,2018,0,"64.27",64.42,70,"1995","...","1994","...","1999",1995,"2016","...","...","2005","1991",1996,1993,"2002"
492,"Monaco",2018,99.5,2018,99.8,"0",0,0,"1992","1978","1993","1993","2006",1993,"2016","1997","...","2004","1996",1999,1992,"1978"
496,"Mongolia",2018,17.7,NA,NA,"14178.33",14172.78,155356,"1997","1996","1993","1999","1999",1996,"2016","1998","2001","2004","1996",1996,1993,"1990"
499,"Montenegro",2018,4.2,2018,0,"827",827,1345,"2006","2007","2006","2009","2007",2006,"2017","2006","2011","2011","2006",2007,2006,"2006"
504,"Morocco",2018,18.4,2018,0.3,"5684.69",5742.49,44630,"1995","1975","1995","1993","2002",1995,"2016","1980","2011","2004","2007",1996,1995,"1975"
508,"Mozambique",2018,13.4,2018,2.2,"37940",36743.76,78638,"1997","1981","1995","2009","2005",1994,"2018","2004","2010","2005","1997",1997,1995,"1982"
104,"Myanmar",2018,4.6,2018,2.3,"29992.44",28543.89,65308,"2015","1997","1995","...","2003",1993,"2017","2005","...","2004","1996",1997,1994,"1994"
516,"Namibia",2018,23.2,2018,1.7,"6993.95",6638.9,82329,"1995","1990","1997","...","2003",1993,"2016","1995","2005","2005","1983",1997,1995,"2000"
524,"Nepal",2018,23.6,NA,NA,"5962.03",5962.03,14335,"1996","1975","1994","...","2005",1994,"2016","1988","2007","2007","1998",1996,1994,"1978"
528,"Netherlands",2018,21.2,2018,26.7,"364.83",369.5,3369,"1993","1984","1994","1983","2002",1988,"2017","1980","2000","2002","1996",1995,1993,"1992"
540,"New Caledonia",2018,96,2018,96.6,"838.52",838.02,1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"New Zealand",2018,30.5,2018,30.4,"9846.61",9892.59,26331,"1994","1989","1993","2000","2002",1988,"2016","1976","2003","2004","1996",2000,1993,"1984"
558,"Nicaragua",2018,15.5,2018,3,"3907.53",3407.53,12034,"1997","1977","1996","...","1999",1993,"2017","1997","2008","2005","2000",1998,1995,"1979"
562,"Niger",2018,17.3,NA,NA,"1141.8",1079.7,126670,"1998","1975","1995","1983","2004",1992,"2016","1987","2006","2006","2013",1996,1995,"1974"
566,"Nigeria",2018,11.6,2018,0,"22443.45",21626.95,91077,"1991","1974","1994","1987","2004",1988,"2017","2001","2001","2004","1986",1997,1994,"1974"
807,"North Macedonia",2018,9.7,NA,NA,"994.4",1001.49,2522,"1997","2000","1998","1999","2004",1994,"2018","1991","2010","2004","1994",2002,1998,"1997"
580,"Northern Mariana Islands",2018,33.2,2018,33.3,"29.49",24.36,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"Norway",2018,5.1,2018,0.8,"12141",12180,30413,"1990","1976","1993","1985","2002",1988,"2016","1975","2001","2002","1996",1996,1993,"1977"
