CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
276,Germany,...,4128,...,...,...,...,...,...,...,...,...,3779.100098,...,...,3752.300049,...,...,...,...,...,3576.866943,3564.756104,3552.645996,3540.534912,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,
300,Greece,...,...,...,...,...,...,...,670,...,...,350.7000122,332.7000122,335.1000061,393.2999878,407.2999878,428.6000061,429.6000061,394.7999878,...,...,...,1020.830017,1020.830017,1020.830017,1020.830017,1020.830017,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,55.76800156,...,36.40999985,36.40999985,...,33,...,...,31,...,...,...,...,...,...,...,40.97436905,42.05529404,35.54813385,32.51418304,...,...,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,,
324,Guinea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9.300000191,5.579999924,8.779999733,9.699999809,11.30000019,11.63034058,11.48123837,11.36504936,10.78079414,12.83791161,12.82649994,13.64280033,14.07579994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,579.2999878,...,511.8999939,435.2000122,444.7999878,421.3999939,396.2999878,380.2999878,377.2000122,368.7000122,388.1000061,372.3999939,381.2000122,395.2000122,372,371.2000122,...,...,...,...,341.1000061,339.8999939,341.6000061,331.1919861,325.6140137,335.8930054,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,30,30,30,30,30,30,30,30,30,30,30,30,30,30,...,...,...,...,71,80,78,76,63,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Iran (Islamic Republic of),...,...,...,...,...,...,...,...,...,...,...,...,...,...,3635,3811,3994,4161,4376,4609,4794,4701,4866,5149,5276,5406,5452,5610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,566.039978,682.6300049,735.1400146,1684.77002,1786.22998,1646.5,2108.409912,2438.600098,3005.530029,3008.199951,3199,3662.350098,3912.439941,3790.51001,4394,...,...,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,,20,20,21,,
376,Israel,482,...,...,...,...,588,...,...,...,...,662,658,666,698,712,715,737,767,759,685,689,665,694,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,4439.700195,...,...,...,...,...,...,...,...,4212.299805,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Japan,15758,...,...,...,...,16339,...,...,...,...,16372,16279,16280,16095,16195,15853,15748,15704,15451,15415,15428,15164,15110,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,239.8000031,236.3999939,...,...,232,239,...,249,262,...,...,160.8956909,162.539978,172.5010986,180.9393005,193.9319458,194.6607056,196.934433,198.1199951,205.9199982,214.2799988,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,342.1000061,320.6000061,374.8999939,384.8999939,384.2000122,402.2999878,425.2999878,434.7000122,468.5,460,463.2999878,467.5,470.3999939,493.1000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,136.3000031,...,...,...,...,176.3000031,...,...,...,...,289.9899902,300.019989,320.8299866,336.1400146,315.3999939,333.2999878,341,361.5,389.7999878,403,420.5,439.1000061,448.2999878,541.7000122,463,479.7000122,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,294,...,...,...,...,272,357,316,309,208,182,124,92,85,164,149,128,159,137,180,206,155.3999939,140.6999969,165.169693,143.0870056,194.0608673,155.6000061,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,73.05899811,121.4889984,73.08599854,71.98999786,69.06700134,68.3010025,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,65.09999847,...,...,...,65.19999695,64.90000153,58.90999985,58.06600189,58.01200104,65.06900024,68.03099823,68.61499786,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42.16899872,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,52.57099915,...,...,77.51000214,55,...,...,56.65999985,56.76200104,...,80.5,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,22,,,,,,,,,,,,,,,,,
