CountryID,Country,1990,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
578,Norway,...,...,...,...,...,...,...,89,89,89,89,89,90,90,90,90,89,88,89,89,89,89,89,89,89,,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,...,...,...,...,...,...,...,70,71,74,75,82,83,84,88.40000153,89,91,67.19999695,70,71.90000153,73.59999847,75.19999695,77.5,77.69999695,...,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,
600,Paraguay,...,...,...,...,...,...,...,...,52.5,53.29999924,58.79999924,57.90000153,60.59999847,65.5,69.09999847,68.90000153,73.59999847,75.19999695,74.80000305,76.90000153,79.19999695,81.09999847,81.90000153,80.59999847,80.90000153,,,,,,,,,,,,,,,,,,,,,,,,,
604,Peru,...,...,...,...,...,...,...,...,...,...,66.09876251,70.46928406,70.09999847,71.59999847,72,72.40000153,74.09999847,76.19999695,76.80000305,82.30000305,86.09999847,87.59999847,88.19999695,89.19999695,89.40000153,,,,,,,,,,,,,,,,,,,,,,,,,
608,Philippines,73,...,...,...,...,78.09999847,81.40000153,79,...,80,...,80.19999695,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,72,...,76,...,...,...,...,83,84,85,85,86,86,86,87,87,87,88,88,88,88,92,92,92,92,,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,...,...,...,...,...,...,...,...,...,...,...,92,91,92,94,97,...,...,...,...,...,...,...,93,,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42.09999847,44.40000153,45.90000153,51.20000076,53.70000076,54.20000076,,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,...,...,...,...,...,...,...,...,...,54,...,...,...,...,49,53,55,56,56,60,61,62,64,65,68,,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,...,...,...,...,76.90000153,...,...,...,...,...,...,...,79.19999695,...,...,...,...,...,...,...,,,,,,,,,,14,,,,,,,,15,,,,,,,
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,70.30000305,...,...,...,...,74.19999695,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
882,Samoa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95,95,96,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,...,...,...,...,...,...,...,80,80,80,96,96,96,96,96,96,96,96,97,98,98,98,98,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45.88000107,46.20000076,46.77000046,47.72999954,48.56000137,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16
688,Serbia,...,...,...,...,...,...,...,65.04000092,66.22000122,67.41000366,68.83000183,69.87000275,71.13999939,72.41999817,73.3690033,77.27400208,77.83899689,77.66300201,78.24500275,80.14700317,81.94400024,83.68099976,82.87999725,...,...,,,,,,,,7,7,7,7,7,7,7,,,,,,,,,,,
702,Singapore,100,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,17,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
703,Slovakia,...,...,...,...,...,...,...,...,...,84,84,85,85,86,87,86,86,87,87,87,87,88,88,89,89,,,,,,,,,,,,,,,,,,,,,,,,,
710,South Africa,...,...,...,...,...,...,...,68,70.80000305,72,73.90000153,77.90000153,81.09999847,83.09999847,85.80000305,88.40000153,90.59999847,92.69999695,93.5,93.80000305,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,...,100,100,100,100,100,100,100,...,,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,...,...,...,...,...,...,84.80000305,...,...,93.80000305,91.90000153,97.90000153,95.90000153,...,...,94.09999847,94.09999847,...,93.80000305,96.59999847,97.5,...,94.90000153,...,...,,,,,,,,,,,,18,18,,,18,18,,18,18,18,,,,
729,Sudan,...,...,...,...,...,...,...,...,...,59.79999924,...,...,...,58.70000076,...,54,59,60,60.5,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
740,Suriname,...,...,...,...,...,...,...,...,...,...,...,66.73999786,...,...,...,...,...,...,...,67.84999847,...,...,...,...,...,,,,,,,,,,,,19,,,,,,,,19,,,,,
752,Sweden,...,...,...,...,...,...,...,87,...,...,...,...,85,85,85,...,...,86,86,86,87,87,88,...,...,,,,,,,,,,,,,,,,,,,10,10,10,10,,,
756,Switzerland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,...,...,...,...,...,...,73,74.19999695,75.40000153,76.40000153,...,...,...,...,...,...,...,...,...,...,...,...,...,96.90000153,...,,,,,,,,,,,,,,,,,,,,,,,,20,
788,Tunisia,75.40000153,...,87.19999695,88.69999695,90,90.80000305,91.69999695,92.69999695,93.59999847,94.40000153,95,95.59999847,96.09999847,96.69999695,97.30000305,97.40000153,97.59999847,97.80000305,97.90000153,97.30000305,97.5,97.5,97.59999847,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,70,...,...,...,...,74,75,76,77,78,80,82,82,99,98,98,...,98,...,97,...,98,...,,,,,,,,,,,,,7,,7,,7,,,,,,,,
834,United Republic of Tanzania,54,...,...,...,...,...,...,...,...,...,...,54.90000153,...,...,...,55.40000153,...,...,...,...,55.59999847,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
860,Uzbekistan,...,...,...,...,...,...,...,...,...,...,...,82.19999695,82.59999847,82.90000153,82.19999695,81.80000305,82.5,82.5,82.69999695,82.69999695,82.59999847,82.30000305,81.40000153,...,...,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,,
862,Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,83.69999695,84.80000305,85.80000305,87,89.30000305,90,90.90000153,91.59999847,94,95,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
704,Viet Nam,...,...,...,...,...,...,...,...,...,17.62000084,...,19.62000084,...,23.96999931,...,26.81999969,...,29.35000038,...,31.96999931,...,...,...,...,...,,,,,,,,,,22,,22,,22,,22,,22,,22,,,,,
887,Yemen,...,...,...,...,...,...,14,14.30000019,14.39999962,14.80000019,15.89999962,16.70000076,16.89999962,17,18,18.20000076,18.20000076,18.60000038,18.60000038,18.5,18.60000038,...,...,...,...,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
