CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
348,Hungary,1023,5300,-2139,2043,-5770,11346,8900,3700,14000,19000,-2325,6417,2883,0,11710,16275,4930,5300,4443,5580,27435,-2046,-558,8277,11148,868,9781,5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,135151,164326,163905,145361,158627,122733,172947,150926,156393,175903,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,134639,92206,78221,92423,75485,96636,89644,75050,59980,96636,64801,54921,...,...,32070,12532,8989,11683,9911,3048,5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,51636,43064.76172,46500.23828,49700.42188,58666.48047,49806,45631.82031,45880.92969,58864.42188,55150.07031,54651,33017,63303,33292,43879,42548,53775,41399,61349,66468,39966,51875,53430,46138,59691,67546,44541,48844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,164000,...,...,...,...,...,...,...,...,...,89541,59505,105256,89089,122124,101418,56258,48374,111842,123601,151195,0,0,0,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,9267,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11029,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,...,...,313,533.2000122,682,400.5,633,445,482,324.3300781,476.0499878,635.3699951,404.1799927,408.2999878,431,411,730,711,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,65100,68300,71700,55800,64900,50300,58200,77200,57300,49200,75000,63500,67700,91700,79900,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95.40000153,28.70000076,107.9800034,25.36000061,75.87000275,122.3499985,110.8499985,65.44000244,92.98999786,82.90000153,45.29999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,34144,...,...,...,...,25035,26303,24460,32335,22164,22360.16992,22952.90039,29964.17969,24288.35938,21672.09961,21266,18673.50977,21987.32031,21482.24023,28506,...,...,...,...,...,...,...,...,7,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,
428,Latvia,27591,20220,21280,17580,21680,20084,15280,23517,25800.5,15384,18370,20210,25892,31389,14440,11901,8497,22334,19711,21160,30223,14644,24287,20227,27317,18687,29702,22285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,...,...,...,...,...,4100,4300,...,...,...,...,...,...,...,...,4100,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,20354,14179,13177,14594,21293,17568,10534,12805,20981,16786,16786,18408,16793,9981,16530,15690,10104,18844,14225,11438,17751,16854,20056,10193,16479,13442,24300,21818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,1003,738,1021,1010,857,961,...,...,...,870,...,...,...,...,...,...,...,...,1037,927,1918,1508,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,...,...,337000,...,337000,...,...,...,...,...,...,337000,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,54214,...,...,...,...,...,...,...,...,...,...,...,...,...,54214,54214,54214,54214,54214,54214,54214,68167,68167,68167,68167,68167,68700,68633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,98,90.12000275,79.83000183,76.94999695,107.7900009,113,101.4300003,145.5200043,55.88000107,116.9199982,76,57,76,151,79,87,93,107,86,117,91,105,81,75,79,88,51,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,2241,...,...,...,...,2866,2411,2558,2703,1401,2558,2411,2635,2999,2723,3361,2493,2578,2925,2949,2749,2307,2199,2584,2611,3340,2525,2829,8,,,,,,,,,9,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8
504,Morocco,...,...,...,...,...,57130,...,...,...,41325,...,...,...,...,...,...,...,22000,44000,39000,46000,24000,11500,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,26.11560059,...,...,...,...,...,...,...,...,...,...,...,...,...,26.77400017,23.28479958,16.98480034,7.336400032,2.853199959,18.48080063,9.16079998,10.25119972,12.31000042,...,24.15839958,35.47320175,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,3860,6052,12852,14008,...,7620,3860,5070,20600,9980,12850,13880,11340,1197,12195,8792,7736,14645,10871,12874,10222,9025,13159,8804,11650,12367,9233,12446,,,,,,,,,,,,,,,,,,,,,,,4,4,,4,4,4
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19174,13863,15422,12999,14528,20930,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,...,...,...,...,416260,301551,405746,374337,389772,453803,357063,342102,353223,366818,...,...,...,...,371824,159859,278187,231761,240638,200627,276804,203564,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,106473,...,...,...,...,131525,...,...,...,130356,128100.8516,118970.4766,118127.0547,148626.5313,129968.0781,138614.125,131329.1719,158081.3438,129339.1953,122344.7344,167348.75,133645.9688,111663.8047,102279.0781,105968.5938,88837.625,118291.3047,130736.0938,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
600,Paraguay,287476.6563,...,...,...,...,80071.42188,332906,294287,379231,75436.5,163845.7031,80162.375,199372.9375,143636.2813,180500.5,148240.1875,102991.5938,102657.25,87963.65625,218709.6563,143824.2813,100599,118858.1328,76459.32031,234877.1563,274915.3438,194343.6875,211603.4688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,38128,39790.60156,39366.30078,42974.80078,57413.30078,53647,53051.5,58572.5,63493.30078,70443.70313,56283,57122,59956,41901,44440,48650,42297,49464,46458,46619,73526,66698,43648,57656,45654,36024,36366,54254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,...,...,...,...,4723,...,...,...,...,11453,...,...,18763,8321,5376,3071,14636,4249,5237,16765,11224,...,...,...,...,34189,-4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,...,...,...,...,...,...,...,...,72.69999695,72,97.09999847,6,50,88.59999847,53.79999924,67.30000305,163.8999939,46.5,42.79999924,101.4000015,38.79999924,96.19999695,46.09999847,80.90000153,54.20000076,106.6999969,75.80000305,106.1999969,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,,,,,,
498,Republic of Moldova,-15220.7998,...,...,...,...,-5207.199219,22713.59961,21226.40039,21530.59961,18599,-10887.2002,-6853.800781,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12,,,,,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,
642,Romania,21649,42161,28686,33072,25846,34776,40867,48630,48724,49135,33230,35060,37000,28500,39700,63300,55945,37550,38847,34231,61285,30456,24297,35343,41966,34659,40546,29003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,...,...,...,...,4089400,4272100,4538000,4414500,4433500,4364400,4186100,4529200,4097400,4313100,4364700,4175200,4693600,4542200,4270000,4119400,4238300,4042800,4330800,4424700,4483800,4230900,4468500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
