CountryID,Country and area,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,"Kyoto 
Protocol",Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,"World 
Heritage Convention"
440,Lithuania,1999,2001,1996,2002,2003,1995,2017,1993,2004,2006,2003,2003,1995,1992
442,Luxembourg,1994,1983,1994,1983,2002,1988,2016,1998,2002,2003,2000,1997,1994,1983
450,Madagascar,1999,1975,1996,2007,2003,1996,2016,1999,2004,2005,2001,1997,1999,1983
454,Malawi,1994,1982,1994,2019,2001,1991,2017,1997,2009,2009,2010,1996,1994,1982
458,Malaysia,1993,1977,1994,...,2002,1989,2016,1995,2002,...,1996,1997,1994,1988
462,Maldives,1992,2012,1993,2019,1998,1989,2016,...,2006,2006,2000,2002,1992,1986
466,Mali,2000,1994,1995,1987,2002,1994,2016,1987,2003,2003,1985,1995,1994,1977
470,Malta,2000,1989,2001,2001,2001,1988,2016,1989,2017,2017,1993,1998,1994,1978
584,Marshall Islands,2003,...,1993,...,2003,1993,2016,2004,2003,2003,1991,1998,1992,2002
478,Mauritania,1996,1998,1996,1998,2005,1994,2017,1983,2005,2005,1996,1996,1994,1981
480,Mauritius,1992,1975,1993,2004,2001,1992,2016,2001,2005,2004,1994,1996,1992,1995
484,Mexico,1991,1991,1993,...,2000,1988,2016,1986,2005,2003,1983,1995,1993,1984
583,Micronesia (Federated States of),1995,...,1994,...,1999,1995,2016,...,...,2005,1991,1996,1993,2002
492,Monaco,1992,1978,1993,1993,2006,1993,2016,1997,...,2004,1996,1999,1992,1978
496,Mongolia,1997,1996,1993,1999,1999,1996,2016,1998,2001,2004,1996,1996,1993,1990
499,Montenegro,2006,2007,2006,2009,2007,2006,2017,2006,2011,2011,2006,2007,2006,2006
504,Morocco,1995,1975,1995,1993,2002,1995,2016,1980,2011,2004,2007,1996,1995,1975
508,Mozambique,1997,1981,1995,2009,2005,1994,2018,2004,2010,2005,1997,1997,1995,1982
104,Myanmar,2015,1997,1995,...,2003,1993,2017,2005,...,2004,1996,1997,1994,1994
516,Namibia,1995,1990,1997,...,2003,1993,2016,1995,2005,2005,1983,1997,1995,2000
520,Nauru,2001,...,1994,...,2001,2001,2016,...,...,2002,1996,1998,1993,...
524,Nepal,1996,1975,1994,...,2005,1994,2016,1988,2007,2007,1998,1996,1994,1978
528,Netherlands,1993,1984,1994,1983,2002,1988,2017,1980,2000,2002,1996,1995,1993,1992
554,New Zealand,1994,1989,1993,2000,2002,1988,2016,1976,2003,2004,1996,2000,1993,1984
558,Nicaragua,1997,1977,1996,...,1999,1993,2017,1997,2008,2005,2000,1998,1995,1979
562,Niger,1998,1975,1995,1983,2004,1992,2016,1987,2006,2006,2013,1996,1995,1974
566,Nigeria,1991,1974,1994,1987,2004,1988,2017,2001,2001,2004,1986,1997,1994,1974
807,North Macedonia,1997,2000,1998,1999,2004,1994,2018,1991,2010,2004,1994,2002,1998,1997
578,Norway,1990,1976,1993,1985,2002,1988,2016,1975,2001,2002,1996,1996,1993,1977
512,Oman,1995,2008,1995,...,2005,1999,2019,2013,2000,2005,1989,1996,1995,1981
586,Pakistan,1994,1976,1994,1987,2005,1992,2016,1976,2005,2008,1997,1997,1994,1976
585,Palau,2011,2004,1999,2008,1999,2001,2016,2003,...,2011,1996,1999,1999,2002
591,Panama,1991,1978,1995,1989,1999,1989,2016,1990,2000,2003,1996,1996,1995,1978
598,Papua New Guinea,1995,1975,1993,...,2002,1992,2016,1993,...,2003,1997,2000,1993,1997
600,Paraguay,1995,1976,1994,1999,1999,1992,2016,1995,2003,2004,1986,1997,1994,1988
604,Peru,1993,1975,1993,1997,2002,1993,2016,1992,2005,2005,...,1995,1993,1982
608,Philippines,1993,1981,1994,1994,2003,1991,2017,1994,2006,2004,1984,2000,1994,1985
616,Poland,1992,1989,1996,1996,2002,1990,2016,1978,2005,2008,1998,2001,1994,1976
620,Portugal,1994,1980,1994,1983,2002,1988,2016,1981,2005,2004,1997,1996,1993,1980
634,Qatar,1995,2001,1996,...,2005,1996,2017,...,2004,2004,2002,1999,1996,1984
410,Republic of Korea,1994,1993,1995,...,2002,1992,2016,1997,2003,2007,1996,1999,1993,1988
498,Republic of Moldova,1998,2001,1996,2001,2003,1996,2017,2000,2005,2004,2007,1999,1995,2002
642,Romania,1991,1994,1994,1998,2001,1993,2017,1991,2003,2004,1996,1998,1994,1990
643,Russian Federation,1995,1992,1995,...,2004,1988,2019,1977,2011,2011,1997,2003,1994,1988
646,Rwanda,2004,1980,1996,2005,2004,2001,2016,2006,2004,2002,...,1998,1998,2000
659,Saint Kitts and Nevis,1994,1994,1993,...,2008,1992,2016,...,2012,2004,1993,1997,1993,1986
662,Saint Lucia,1993,1982,1993,...,2003,1993,2016,2002,...,2002,1985,1997,1993,1991
670,Saint Vincent and the Grenadines,1996,1988,1996,...,2004,1996,2016,...,2010,2005,1993,1998,1996,2003
882,Samoa,2002,2004,1994,2005,2000,1992,2016,2005,2002,2002,1995,1998,1994,2001
674,San Marino,...,2005,1995,...,2010,2009,2018,...,...,...,...,1999,1994,1991
678,Sao Tome and Principe,2013,2001,1999,2001,2008,2001,2016,2006,2013,2006,1987,1998,1999,2006
682,Saudi Arabia,1990,1996,2002,1991,2005,1993,2016,...,2000,2012,1996,1997,1994,1978
686,Senegal,1992,1977,1995,1988,2001,1993,2016,1977,2001,2003,1984,1995,1994,1976
688,Serbia,2000,2006,2002,2008,2007,2001,2017,1992,2009,2009,2001,2007,2001,2001
690,Seychelles,1993,1977,1993,2005,2002,1993,2016,2005,...,2008,1991,1997,1992,1980
694,Sierra Leone,2016,1994,1995,...,2006,2001,2016,2000,2016,2003,1994,1997,1995,2005
702,Singapore,1996,1986,1996,...,2006,1989,2016,...,2005,2005,1994,1999,1997,2012
703,Slovakia,1993,1993,1994,1995,2002,1993,2016,1993,2007,2002,1996,2002,1994,1993
705,Slovenia,1993,2000,1996,1999,2002,1992,2016,1991,1999,2004,1995,2001,1995,1992
90,Solomon Islands,...,2007,1996,...,2003,1993,2016,...,...,2004,1997,1999,1994,1992
706,Somalia,2010,1985,2009,1986,2010,2001,2016,...,2010,2010,1989,2002,2009,...
710,South Africa,1994,1975,1996,1991,2002,1990,2016,1975,2002,2002,1997,1997,1997,1997
728,South Sudan,...,...,2014,...,...,2012,...,2013,...,...,...,2014,2014,2016
724,Spain,1994,1986,1994,1985,2002,1988,2017,1982,2004,2004,1997,1996,1993,1982
144,Sri Lanka,1992,1979,1994,1990,2002,1989,2016,1990,2006,2005,1994,1998,1993,1980
275,State of Palestine,2015,...,2015,...,...,2019,2016,...,2017,2017,2015,2017,2015,2011
729,Sudan,2006,1982,1996,...,2004,1993,2017,2005,2005,2006,1985,1995,1993,1974
740,Suriname,2011,1980,1996,...,2006,1997,2019,1985,2000,2011,1998,2000,1997,1997
752,Sweden,1991,1974,1994,1983,2002,1988,2016,1975,2003,2002,1996,1995,1993,1985
756,Switzerland,1990,1974,1995,1995,2003,1988,2017,1976,2002,2003,2009,1996,1993,1975
760,Syrian Arab Republic,1992,2003,1996,2003,2006,1989,2017,1998,2003,2005,...,1997,1996,1975
762,Tajikistan,2016,2016,1998,2001,2008,1998,2017,2001,...,2007,...,1997,1998,1992
764,Thailand,1997,1983,2004,...,2002,1989,2016,1998,2002,2005,2011,2001,1994,1987
626,Timor-Leste,...,...,2007,...,2008,2009,2017,...,...,...,2013,2003,2006,2016
768,Togo,2004,1978,1996,1996,2004,1991,2017,1995,2004,2004,1985,1995,1995,1998
776,Tonga,2010,2016,1998,...,2008,1998,2016,...,2010,2009,1995,1998,1998,2004
780,Trinidad and Tobago,1994,1984,1996,2018,1999,1989,2018,1993,2009,2002,1986,2000,1994,2005
788,Tunisia,1995,1974,1993,1987,2003,1989,2017,1981,2016,2004,1985,1995,1993,1975
792,Turkey,1994,1996,1997,...,2009,1991,...,1994,2017,2009,...,1998,2004,1983
795,Turkmenistan,1996,...,1996,...,1999,1993,2016,2009,...,...,...,1996,1995,1994
798,Tuvalu,...,...,2003,...,1998,1993,2016,...,...,2004,2002,1998,1993,...
800,Uganda,1999,1991,1993,2000,2002,1988,2016,1988,2008,2004,1990,1997,1993,1987
804,Ukraine,1999,1999,1995,1999,2004,1988,2016,1991,2002,2007,1999,2002,1997,1988
784,United Arab Emirates,1992,1990,2000,2016,2005,1989,2016,2007,2002,2002,...,1998,1995,2001
826,United Kingdom of Great Britain and Northern Ireland,1994,1976,1994,1985,2002,1988,2016,1976,2004,2005,1997,1996,1993,1984
834,United Republic of Tanzania,1993,1979,1996,1999,2002,1993,2018,2000,2002,2004,1985,1997,1996,1977
840,United States of America,…,1974,…,...,…,1988,2016,1987,...,...,...,2000,1992,1973
858,Uruguay,1991,1975,1994,1990,2001,1991,2016,1984,2003,2004,1992,1999,1994,1989
860,Uzbekistan,1996,1997,1995,1998,1999,1993,2018,2002,...,2019,...,1995,1993,1993
548,Vanuatu,2019,1989,1993,...,2001,1994,2016,2019,2018,2005,1999,1999,1993,2002
862,Venezuela (Bolivarian Republic of),1998,1977,1994,...,2005,1989,2017,1988,2005,2005,...,1998,1994,1990
704,Viet Nam,1995,1994,1995,...,2002,1994,2016,1989,2007,2002,1994,1998,1994,1987
887,Yemen,1996,1997,1996,2006,2004,1996,...,2008,2006,2004,1987,1997,1996,1980
894,Zambia,1994,1980,1993,...,2006,1990,2016,1991,2011,2006,1983,1996,1993,1984
716,Zimbabwe,2012,1981,1995,2012,2009,1992,2017,2013,2012,2012,1993,1997,1992,1982
