CountryID,Country and area,Energy supply (petajoules),"Energy supply 
per capita 
(gigajoules per capita)",Conribution of renewables to electricity production (%),Footnote,,,,,,,,,,,,,,,,,,
642,Romania,1401,71,37.50,,,,,,,,,,,,,,,,,,,
643,Russian Federation,31182,217,17.20,,,,,,,,,,,,,,,,,,,
646,Rwanda,99,8,49.28,,,,,,,,,,,,,,,,,,,
882,Samoa,5,25,33.78,,,,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,3,14,7.78,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,8946,272,0.00,19,,,,,,,,,,,,,,,,,,
686,Senegal,168,11,2.96,,,,,,,,,,,,,,,,,,,
688,Serbia,647,93,26.49,20,,,,,,,,,,,,,,,,,,
690,Seychelles,8,86,1.95,,,,,,,,,,,,,,,,,,,
694,Sierra Leone,68,9,72.28,,,,,,,,,,,,,,,,,,,
702,Singapore,1166,204,0.32,,,,,,,,,,,,,,,,,,,
534,Sint Maarten (Dutch part),12,292,…,,,,,,,,,,,,,,,,,,,
703,Slovakia,717,132,19.07,,,,,,,,,,,,,,,,,,,
705,Slovenia,289,139,27.14,,,,,,,,,,,,,,,,,,,
90,Solomon Islands,7,12,0.94, ,,,,,,,,,,,,,,,,,,
706,Somalia,148,10,0.00,,,,,,,,,,,,,,,,,,,
710,South Africa,5910,104,5.39,,,,,,,,,,,,,,,,,,,
728,South Sudan,28,3,0.55,,,,,,,,,,,,,,,,,,,
724,Spain,5227,113,30.71,21,,,,,,,,,,,,,,,,,,
144,Sri Lanka,461,22,30.81,,,,,,,,,,,,,,,,,,,
654,St. Helena and Depend.,0,26,27.27,,,,,,,,,,,,,,,,,,,
659,St. Kitts-Nevis,3,63,5.07,,,,,,,,,,,,,,,,,,,
662,St. Lucia,5,29,0.00,,,,,,,,,,,,,,,,,,,
666,St. Pierre-Miquelon,1,171,0.00,,,,,,,,,,,,,,,,,,,
670,St. Vincent-Grenadines,4,35,10.46,,,,,,,,,,,,,,,,,,,
275,State of Palestine,78,16,8.24, ,,,,,,,,,,,,,,,,,,
729,Sudan,532,13,59.69,,,,,,,,,,,,,,,,,,,
740,Suriname,40,71,43.93,,,,,,,,,,,,,,,,,,,
752,Sweden,2033,205,50.54,,,,,,,,,,,,,,,,,,,
757,Switzerland,988,116,61.58,22,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,374,20,4.14,,,,,,,,,,,,,,,,,,,
762,Tajikistan,187,21,94.43,,,,,,,,,,,,,,,,,,,
764,Thailand,5777,84,8.14,,,,,,,,,,,,,,,,,,,
626,Timor-Leste,8,6,0.00,,,,,,,,,,,,,,,,,,,
768,Togo,154,20,29.71,,,,,,,,,,,,,,,,,,,
776,Tonga,2,20,6.45,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,703,514,0.04,,,,,,,,,,,,,,,,,,,
788,Tunisia,473,41,4.04,,,,,,,,,,,,,,,,,,,
792,Turkey,6138,76,28.92,,,,,,,,,,,,,,,,,,,
795,Turkmenistan,1158,201,0.00,,,,,,,,,,,,,,,,,,,
796,Turks and Caicos Islands,3,91,0.84,,,,,,,,,,,,,,,,,,,
800,Uganda,693,16,89.83,,,,,,,,,,,,,,,,,,,
804,Ukraine,3739,85,7.88,23,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,3042,324,0.59,,,,,,,,,,,,,,,,,,,
826,United Kingdom,7353,111,20.79,24,,,,,,,,,,,,,,,,,,
834,United Rep. of Tanzania,855,15,29.69,,,,,,,,,,,,,,,,,,,
840,United States,90228,278,15.81,25,,,,,,,,,,,,,,,,,,
858,Uruguay,217,63,80.43,,,,,,,,,,,,,,,,,,,
860,Uzbekistan,1880,59,13.81,,,,,,,,,,,,,,,,,,,
548,Vanuatu,3,11,21.92,,,,,,,,,,,,,,,,,,,
862,Venezuela (Bolivar. Rep.),2064,65,53.50,,,,,,,,,,,,,,,,,,,
704,Viet Nam,2980,31,44.91,,,,,,,,,,,,,,,,,,,
887,Yemen,142,5,13.77,,,,,,,,,,,,,,,,,,,
894,Zambia,501,29,85.99,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,474,33,52.61,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
